,0
9 15,525
14 15,172
16 17,123
5 14 15,114
12 15,103
12 14 15,83
5 7 17,79
5 17,67
5 12 14 15,62
12 17,59
9 12 15,59
4 17,58
3 14 15,47
3 17,40
6 15,33
4 14 15,30
0 15,29
13 15,25
9 15 16 17,25
2 15,25
8 15,25
1 15,23
3 15,16
5 12 17,16
10 15,16
5 7 12 17,13
4 12 17,12
3 9 15,11
0 12 15,11
15 18,10
11 15,9
7 17,9
10 12 15,9
9 12 14 15,8
2 4 15,7
4 15,5
14 15 16 17,4
9 14 15,4
9 15 17,1
5,1
9 13 15,1
14 15 17,1
12 15 17,1
